GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage with Jacoco,es.unileon.prg1.candyClean,CandyCleanTest,0,531,0,12,0,0,0,14,0,8
Coverage with Jacoco,es.unileon.prg1.candyClean,BackgroundColor,0,84,0,0,0,2,0,1,0,1
Coverage with Jacoco,es.unileon.prg1.candyClean,CandyClean,4,149,1,13,1,33,2,13,1,7
Coverage with Jacoco,es.unileon.prg1.candyClean,MainCandyClean,41,0,2,0,12,0,3,0,2,0
Coverage with Jacoco,es.unileon.prg1.candyClean,CandyCleanException,4,0,0,0,2,0,1,0,1,0
Coverage with Jacoco,es.unileon.prg1.candyClean,AllTests,3,0,0,0,0,0,1,0,1,0
Coverage with Jacoco,es.unileon.prg1.candyClean,ColorTest,7,80,0,0,0,0,1,9,1,9
Coverage with Jacoco,es.unileon.prg1.candyClean,Color,0,172,1,8,0,37,1,15,0,8
Coverage with Jacoco,es.unileon.prg1.candyClean,BoardTest,10,949,6,54,0,0,6,37,0,13
Coverage with Jacoco,es.unileon.prg1.candyClean,TextUI,151,0,19,0,50,0,14,0,4,0
Coverage with Jacoco,es.unileon.prg1.candyClean,Box,0,59,0,2,0,19,0,8,0,7
Coverage with Jacoco,es.unileon.prg1.candyClean,Teclado,155,0,2,0,75,0,11,0,10,0
Coverage with Jacoco,es.unileon.prg1.candyClean,Board,14,465,5,47,3,79,5,29,0,8
Coverage with Jacoco,es.unileon.prg1.candyClean,BoxTest,19,52,0,0,0,0,1,7,1,7
